관리부서,관리번호,사용목적,소재지지번주소,데이터기준일자,위도,경도
서울특별시 금천구청 도로과,가산동-2071,방범등,서울특별시 금천구 가산동 83-12건너(골말공원),2025-06-17,37.4828092,126.8848907
서울특별시 금천구청 도로과,가산동-2072,방범등,서울특별시 금천구 가산동 602-71,2025-06-17,37.4827321,126.8843942
서울특별시 금천구청 도로과,가산동-2073,방범등,서울특별시 금천구 가산동 34-64,2025-06-17,37.4838605,126.8829781
서울특별시 금천구청 도로과,가산동-2074,방범등,서울특별시 금천구 가산동 33-1,2025-06-17,37.4839919,126.8832681
서울특별시 금천구청 도로과,가산동-2075,방범등,서울특별시 금천구 가산동 345-1,2025-06-17,37.4763987,126.8842433
서울특별시 금천구청 도로과,가산동-2077,방범등,서울특별시 금천구 가산동 39-10,2025-06-17,37.4827545,126.8833595
서울특별시 금천구청 도로과,가산동-2078,방범등,서울특별시 금천구 가산동 38-4,2025-06-17,37.4828497,126.8832556
서울특별시 금천구청 도로과,가산동-2079,방범등,서울특별시 금천구 가산동 39-15,2025-06-17,37.4826313,126.8830255
서울특별시 금천구청 도로과,가산동-208,방범등,서울특별시 금천구 가산동 5-35,2025-06-17,37.4846918,126.8816442
서울특별시 금천구청 도로과,가산동-2080,방범등,서울특별시 금천구 가산동 39-15,2025-06-17,37.4826313,126.8830255
서울특별시 금천구청 도로과,가산동-2081,방범등,서울특별시 금천구 가산동 40-20,2025-06-17,37.4823985,126.8828485
서울특별시 금천구청 도로과,가산동-2082,방범등,서울특별시 금천구 가산동 41-10,2025-06-17,37.4823346,126.8831926
서울특별시 금천구청 도로과,가산동-2083,방범등,서울특별시 금천구 가산동 41-21,2025-06-17,37.4823767,126.8833143
서울특별시 금천구청 도로과,가산동-2084,방범등,서울특별시 금천구 가산동 41-1,2025-06-17,37.4825682,126.8839153
서울특별시 금천구청 도로과,가산동-2085,방범등,"서울특별시 금천구 가산동 42-16,49",2025-06-17,37.4821833,126.8831444
서울특별시 금천구청 도로과,가산동-2086,방범등,서울특별시 금천구 가산동 42-12,2025-06-17,37.4823849,126.8837552
서울특별시 금천구청 도로과,가산동-2087,방범등,서울특별시 금천구 가산동 42-13,2025-06-17,37.4822928,126.8834469
서울특별시 금천구청 도로과,가산동-2088,방범등,서울특별시 금천구 가산동 42-10,2025-06-17,37.4824307,126.8839075
서울특별시 금천구청 도로과,가산동-2089,방범등,서울특별시 금천구 가산동 42-7,2025-06-17,37.4825420,126.8842630
서울특별시 금천구청 도로과,가산동-209,방범등,서울특별시 금천구 가산동 7-14,2025-06-17,37.4845075,126.8819402
서울특별시 금천구청 도로과,가산동-2090,방범등,서울특별시 금천구 가산동 87-229,2025-06-17,37.4828980,126.8849911
서울특별시 금천구청 도로과,가산동-2091,방범등,서울특별시 금천구 가산동 83-2,2025-06-17,37.4827019,126.8849933
서울특별시 금천구청 도로과,가산동-2093,방범등,서울특별시 금천구 가산동 83-8,2025-06-17,37.4825155,126.8847482
서울특별시 금천구청 도로과,가산동-2094,방범등,서울특별시 금천구 가산동 83-22,2025-06-17,37.4825162,126.8853072
서울특별시 금천구청 도로과,가산동-2095,방범등,서울특별시 금천구 가산동 83-28,2025-06-17,37.4823531,126.8851037
서울특별시 금천구청 도로과,가산동-2096,방범등,서울특별시 금천구 가산동 79-2,2025-06-17,37.4819235,126.8857392
서울특별시 금천구청 도로과,가산동-2097,방범등,서울특별시 금천구 가산동 83-26,2025-06-17,37.4824103,126.8852511
서울특별시 금천구청 도로과,가산동-2099,방범등,서울특별시 금천구 가산동 79-2,2025-06-17,37.4819235,126.8857392
서울특별시 금천구청 도로과,가산동-301,방범등,서울특별시 금천구 가산동 140-24,2025-06-17,37.4788334,126.8897322
서울특별시 금천구청 도로과,가산동-3011,방범등,서울특별시 금천구 가산동 143-2,2025-06-17,37.4781328,126.8905528
서울특별시 금천구청 도로과,가산동-3012,방범등,서울특별시 금천구 가산동 143-11,2025-06-17,37.4780034,126.8903927
서울특별시 금천구청 도로과,가산동-3014,방범등,서울특별시 금천구 가산동 143-38,2025-06-17,37.4778559,126.8900748
서울특별시 금천구청 도로과,가산동-3015,방범등,서울특별시 금천구 가산동 60-8,2025-06-17,37.4775959,126.8890779
서울특별시 금천구청 도로과,가산동-3016,방범등,서울특별시 금천구 가산동 60-8,2025-06-17,37.4775959,126.8890779
서울특별시 금천구청 도로과,가산동-3017,방범등,서울특별시 금천구 가산동 60-8,2025-06-17,37.4775959,126.8890779
서울특별시 금천구청 도로과,가산동-3018,방범등,서울특별시 금천구 가산동 60-8,2025-06-17,37.4775959,126.8890779
서울특별시 금천구청 도로과,가산동-3019,방범등,서울특별시 금천구 가산동 60-8,2025-06-17,37.4775959,126.8890779
서울특별시 금천구청 도로과,가산동-302,방범등,서울특별시 금천구 가산동 140-34,2025-06-17,37.4785100,126.8896332
